PERMNO,date,TICKER,COMNAM,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,OPENPRC,vwretd,vwretx,ewretd,ewretx,sprtn
18163,2022/1/3,PG,PROCTER & GAMBLE CO,159.88,162.94,162.89999,9317892,-0.004157,162.89999,162.91,161.69,0.006155,0.006132,0.0133,0.013281,0.006374
18163,2022/1/4,PG,PROCTER & GAMBLE CO,162.17999,164.39,163.47,9253754,0.003499,163.47,163.48,162.28999,-0.002351,-0.002398,-0.003614,-0.003626,-0.00063
18163,2022/1/5,PG,PROCTER & GAMBLE CO,163.39999,165.32001,164.21001,9330245,0.004527,164.17999,164.2,163.44,-0.021879,-0.021933,-0.022888,-0.022899,-0.019393
18163,2022/1/6,PG,PROCTER & GAMBLE CO,162.61,165.2,162.83,7555999,-0.008404,162.8,162.83,164.34,0.000161,0.000103,-0.000855,-0.000868,-0.000964
18163,2022/1/7,PG,PROCTER & GAMBLE CO,161.95,163.53,162.74001,6098455,-0.000553,162.73,162.74001,163.13,-0.004164,-0.004304,-0.003449,-0.003472,-0.00405
18163,2022/1/10,PG,PROCTER & GAMBLE CO,160.17,163.12,160.52,8054984,-0.013641,160.52,160.53,162.50999,-0.001893,-0.001895,-0.006038,-0.006048,-0.001441
18163,2022/1/11,PG,PROCTER & GAMBLE CO,156.91,160.22,158.66,11957885,-0.011587,158.67,158.67999,160.22,0.010905,0.010904,0.0129,0.012893,0.00916
18163,2022/1/12,PG,PROCTER & GAMBLE CO,157.83,159.36,159.00999,7126650,0.002206,158.98,159,158.25999,0.001817,0.001803,-0.001804,-0.001838,0.002818
18163,2022/1/13,PG,PROCTER & GAMBLE CO,157.78191,159.45,158.28999,6551083,-0.004528,158.33,158.35001,159.31,-0.014356,-0.014445,-0.011682,-0.011786,-0.014244
18163,2022/1/14,PG,PROCTER & GAMBLE CO,157.56,160.49001,159.81,10708197,0.009603,159.8,159.81,158.07001,0.000164,0.00015,-0.000537,-0.000581,0.00082
18163,2022/1/18,PG,PROCTER & GAMBLE CO,156.03999,158.53,156.73,10991410,-0.019273,156.77,156.89999,158.53,-0.019346,-0.01936,-0.020456,-0.020479,-0.018388
18163,2022/1/19,PG,PROCTER & GAMBLE CO,156.97,164.19,162,14088282,0.033625,162.03,162.05,157.61,-0.009368,-0.009383,-0.007658,-0.007728,-0.00969
18163,2022/1/20,PG,PROCTER & GAMBLE CO,160.12,164.33,162,10799065,0.005369,161.96001,162,160.12,-0.010991,-0.011044,-0.010844,-0.010875,-0.011037
18163,2022/1/21,PG,PROCTER & GAMBLE CO,162.10001,165.35001,162.62,10900398,0.003827,162.63,162.69,163,-0.019931,-0.019945,-0.020748,-0.020825,-0.018915
18163,2022/1/24,PG,PROCTER & GAMBLE CO,158.72,164.12,161.3,14846686,-0.008117,161.32001,161.38,163.42999,0.004196,0.004191,0.001777,0.001754,0.002772
18163,2022/1/25,PG,PROCTER & GAMBLE CO,157.88499,161.3,159.53999,9369589,-0.010911,159.55,159.56,160.45,-0.01244,-0.012469,-0.003871,-0.003881,-0.012172
18163,2022/1/26,PG,PROCTER & GAMBLE CO,156.38,159.57001,158.14999,10707105,-0.008713,157.99001,158.11,157.34,-0.003579,-0.003587,-0.008831,-0.008841,-0.001497
18163,2022/1/27,PG,PROCTER & GAMBLE CO,158.58,161.345,159.13,9084347,0.006197,159.12,159.13,158.73,-0.008106,-0.008151,-0.017301,-0.01733,-0.005384
18163,2022/1/28,PG,PROCTER & GAMBLE CO,157.32001,160.95,160.5,9494403,0.008609,160.49001,160.5,158.61,0.022473,0.02235,0.012924,0.01285,0.024348
18163,2022/1/31,PG,PROCTER & GAMBLE CO,158.87,160.64999,160.45,8950094,-0.000312,160.45,160.46001,159.35001,0.022431,0.022401,0.030493,0.030459,0.018886
18163,2022/2/1,PG,PROCTER & GAMBLE CO,157.73,161.3,159.74001,6284069,-0.004425,159.69,159.7,160.78999,0.008548,0.008514,0.012938,0.012879,0.006863
18163,2022/2/2,PG,PROCTER & GAMBLE CO,159.47,162.84,162.60001,7558750,0.017904,162.53999,162.55,160.14,0.004746,0.004734,-0.008769,-0.008788,0.009423
18163,2022/2/3,PG,PROCTER & GAMBLE CO,161.62,164.98,164.14,10474542,0.009471,164.13,164.14,161.98,-0.023331,-0.023379,-0.017392,-0.017426,-0.024391
18163,2022/2/4,PG,PROCTER & GAMBLE CO,161.41,164.49001,161.53,8960135,-0.015901,161.5,161.50999,163.13,0.007243,0.007094,0.007808,0.00777,0.005157
18163,2022/2/7,PG,PROCTER & GAMBLE CO,159.67,162.265,160.32001,6430488,-0.007491,160.32001,160.33,161.87,-0.001807,-0.001837,0.004501,0.004462,-0.003702
18163,2022/2/8,PG,PROCTER & GAMBLE CO,159.64999,161.27,159.96001,5048797,-0.002246,159.96001,159.97,161.12,0.009147,0.00914,0.008339,0.008321,0.008401
18163,2022/2/9,PG,PROCTER & GAMBLE CO,159.27,160.63499,159.60001,8077550,-0.002251,159.61,159.66,160.36,0.016251,0.016166,0.016842,0.016818,0.014517
18163,2022/2/10,PG,PROCTER & GAMBLE CO,156.65131,159.5,157.17,7032976,-0.015226,157.14999,157.17,159.09,-0.016293,-0.016406,-0.010505,-0.010605,-0.018116
18163,2022/2/11,PG,PROCTER & GAMBLE CO,155.58,158.5798,156.28999,9341436,-0.005599,156.14999,156.17999,158.00999,-0.017672,-0.017716,-0.011637,-0.011691,-0.018969
18163,2022/2/14,PG,PROCTER & GAMBLE CO,153.3589,157.06,156.74001,9472171,0.002879,156.71001,156.72,156.14,-0.004128,-0.004236,-0.008027,-0.00814,-0.003841
18163,2022/2/15,PG,PROCTER & GAMBLE CO,156.11,159.32001,156.82001,6659367,0.00051,156.83,156.84,157.77,0.017622,0.017542,0.021559,0.021528,0.015767
18163,2022/2/16,PG,PROCTER & GAMBLE CO,156.27,158.78,158.00999,9315668,0.007588,158.00999,158.02,156.83,0.000308,0.000219,0.001503,0.001478,0.000881
18163,2022/2/17,PG,PROCTER & GAMBLE CO,157.35001,160.375,159.82001,7925454,0.011455,159.8,159.81,158.38,-0.021239,-0.021335,-0.017211,-0.017318,-0.021173
18163,2022/2/18,PG,PROCTER & GAMBLE CO,158.82001,161.06,159.89999,8063159,0.0005,159.89999,159.91,159.5,-0.008297,-0.008413,-0.01007,-0.010122,-0.007166
18163,2022/2/22,PG,PROCTER & GAMBLE CO,156.66,160.88,157.92999,8179551,-0.01232,157.89999,157.91,160.11,-0.011235,-0.011258,-0.014612,-0.014653,-0.010143
18163,2022/2/23,PG,PROCTER & GAMBLE CO,155.60001,158.60001,155.96001,6273013,-0.012474,155.97,155.98,158.3,-0.018075,-0.018087,-0.013319,-0.013339,-0.018412
18163,2022/2/24,PG,PROCTER & GAMBLE CO,150.56,155.98,151.75999,13145073,-0.02693,151.72,151.75999,155.64,0.016083,0.016019,0.013783,0.013731,0.014957
18163,2022/2/25,PG,PROCTER & GAMBLE CO,152.25,158.94,158.24001,8866983,0.042699,158.24001,158.25,152.33,0.022121,0.022022,0.016934,0.016865,0.022373
18163,2022/2/28,PG,PROCTER & GAMBLE CO,153.82001,157.19,155.89,8669154,-0.014851,155.84,155.87,156.28999,-0.000365,-0.000452,0.002819,0.002764,-0.002443
18163,2022/3/1,PG,PROCTER & GAMBLE CO,152.34,155.39999,153.31,8311984,-0.01655,153.21001,153.22,154.31,-0.015027,-0.015087,-0.01042,-0.010501,-0.015473
18163,2022/3/2,PG,PROCTER & GAMBLE CO,152.60001,155.08,153.78999,6111319,0.003131,153.7,153.71001,152.96001,0.017773,0.017744,0.013006,0.012986,0.018643
18163,2022/3/3,PG,PROCTER & GAMBLE CO,153.77,155.86,154.36,7451233,0.003706,154.38,154.39,153.77,-0.008077,-0.008183,-0.011302,-0.011354,-0.005255
18163,2022/3/4,PG,PROCTER & GAMBLE CO,152.55,155.345,155.14,8639712,0.005053,155.11,155.14,153.12,-0.010171,-0.01023,-0.013542,-0.013578,-0.007934
