PERMNO,date,TICKER,COMNAM,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,OPENPRC,vwretd,vwretx,ewretd,ewretx,sprtn
14593,2022/1/3,AAPL,APPLE INC,177.71001,182.88,182.00999,104656435,0.025004,182,182.00999,177.83,0.006155,0.006132,0.0133,0.013281,0.006374
14593,2022/1/4,AAPL,APPLE INC,179.12,182.94,179.7,99155535,-0.012692,179.66,179.71001,182.63,-0.002351,-0.002398,-0.003614,-0.003626,-0.00063
14593,2022/1/5,AAPL,APPLE INC,174.64,180.17,174.92,94423171,-0.0266,174.78,174.89999,179.61,-0.021879,-0.021933,-0.022888,-0.022899,-0.019393
14593,2022/1/6,AAPL,APPLE INC,171.64,175.3,172,96820640,-0.016693,172,172.00999,172.7,0.000161,0.000103,-0.000855,-0.000868,-0.000964
14593,2022/1/7,AAPL,APPLE INC,171.03,174.14,172.17,87650955,0.000988,172.19,172.25,172.89,-0.004164,-0.004304,-0.003449,-0.003472,-0.00405
14593,2022/1/10,AAPL,APPLE INC,168.17,172.5,172.19,106792948,0.000116,172.16,172.21001,169.08,-0.001893,-0.001895,-0.006038,-0.006048,-0.001441
14593,2022/1/11,AAPL,APPLE INC,170.82001,175.17999,175.08,76089880,0.016784,175.08,175.09,172.32001,0.010905,0.010904,0.0129,0.012893,0.00916
14593,2022/1/12,AAPL,APPLE INC,174.82001,177.17999,175.53,74738392,0.00257,175.57001,175.61,176.12,0.001817,0.001803,-0.001804,-0.001838,0.002818
14593,2022/1/13,AAPL,APPLE INC,171.78999,176.62,172.19,84433750,-0.019028,172.22,172.35001,175.78,-0.014356,-0.014445,-0.011682,-0.011786,-0.014244
14593,2022/1/14,AAPL,APPLE INC,171.09,173.78,173.07001,80382571,0.005111,173.05,173.07001,171.34,0.000164,0.00015,-0.000537,-0.000581,0.00082
14593,2022/1/18,AAPL,APPLE INC,169.405,172.53999,169.8,91066563,-0.018894,169.84,169.91,171.50999,-0.019346,-0.01936,-0.020456,-0.020479,-0.018388
14593,2022/1/19,AAPL,APPLE INC,165.94,171.08,166.23,94773791,-0.021025,166.22,166.23,170,-0.009368,-0.009383,-0.007658,-0.007728,-0.00969
14593,2022/1/20,AAPL,APPLE INC,164.17999,169.67999,164.50999,91345534,-0.010347,164.49001,164.53,166.98,-0.010991,-0.011044,-0.010844,-0.010875,-0.011037
14593,2022/1/21,AAPL,APPLE INC,162.3,166.33,162.41,122710154,-0.012765,162.33,162.41,164.41499,-0.019931,-0.019945,-0.020748,-0.020825,-0.018915
