PERMNO,date,TICKER,COMNAM,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,OPENPRC,vwretd,vwretx,ewretd,ewretx,sprtn
47896,2022/1/3,JPM,JPMORGAN CHASE & CO,159.50999,162.64,161.7,13128118,0.021156,161.71001,161.72,159.86,0.006155,0.006132,0.0133,0.013281,0.006374
47896,2022/1/4,JPM,JPMORGAN CHASE & CO,164.23,168.58,167.83,20195802,0.03791,167.78999,167.8,164.31,-0.002351,-0.002398,-0.003614,-0.003626,-0.00063
47896,2022/1/5,JPM,JPMORGAN CHASE & CO,163.73,168.3589,163.78,17539410,-0.018173,163.78999,163.8,167.82001,-0.021879,-0.021933,-0.022888,-0.022899,-0.019393
47896,2022/1/6,JPM,JPMORGAN CHASE & CO,163.87,167.37,165.52,14047498,0.010624,165.5,165.52,166.91,0.000161,0.000103,-0.000855,-0.000868,-0.000964
47896,2022/1/7,JPM,JPMORGAN CHASE & CO,165.06,167.53,167.16,13913345,0.009908,167.19,167.2,165.66499,-0.004164,-0.004304,-0.003449,-0.003472,-0.00405
47896,2022/1/10,JPM,JPMORGAN CHASE & CO,165.53,169.31,167.32001,12922455,0.000957,167.25999,167.27,169.07001,-0.001893,-0.001895,-0.006038,-0.006048,-0.001441
47896,2022/1/11,JPM,JPMORGAN CHASE & CO,166.31,168.5246,167.49001,11854115,0.001016,167.48,167.49001,168.25999,0.010905,0.010904,0.0129,0.012893,0.00916
47896,2022/1/12,JPM,JPMORGAN CHASE & CO,167.17999,169.59,168.44,12568011,0.005672,168.48,168.49001,168.46001,0.001817,0.001803,-0.001804,-0.001838,0.002818
47896,2022/1/13,JPM,JPMORGAN CHASE & CO,167.89,169.81,168.23,13623418,-0.001247,168.42999,168.52,168.34,-0.014356,-0.014445,-0.011682,-0.011786,-0.014244
47896,2022/1/14,JPM,JPMORGAN CHASE & CO,156.895,161.03,157.89,40158362,-0.061463,157.89,157.89999,160.75999,0.000164,0.00015,-0.000537,-0.000581,0.00082
47896,2022/1/18,JPM,JPMORGAN CHASE & CO,150.53999,155.78,151.27,32348432,-0.041928,151.41,151.42,155.78,-0.019346,-0.01936,-0.020456,-0.020479,-0.018388
47896,2022/1/19,JPM,JPMORGAN CHASE & CO,148.55,152.23,148.92999,22380026,-0.015469,148.92999,148.94,151.57001,-0.009368,-0.009383,-0.007658,-0.007728,-0.00969
47896,2022/1/20,JPM,JPMORGAN CHASE & CO,147.36,150.61,147.66,14860843,-0.008527,147.59,147.62,148.99001,-0.010991,-0.011044,-0.010844,-0.010875,-0.011037
47896,2022/1/21,JPM,JPMORGAN CHASE & CO,144.27,147.50999,145.08,20705401,-0.017473,145.00999,145.02,147.5,-0.019931,-0.019945,-0.020748,-0.020825,-0.018915
47896,2022/1/24,JPM,JPMORGAN CHASE & CO,139.57001,145.48,144.95,28503121,-0.000896,145.19,145.2,142.28,0.004196,0.004191,0.001777,0.001754,0.002772
47896,2022/1/25,JPM,JPMORGAN CHASE & CO,140.78999,146.85001,146.53,18915869,0.0109,146.53,146.53999,143.64999,-0.01244,-0.012469,-0.003871,-0.003881,-0.012172
47896,2022/1/26,JPM,JPMORGAN CHASE & CO,145.96001,150.57001,147.92,20709097,0.009486,147.89,147.89999,148.72,-0.003579,-0.003587,-0.008831,-0.008841,-0.001497
47896,2022/1/27,JPM,JPMORGAN CHASE & CO,144.13,150.38,145.31,17544523,-0.017645,145.28999,145.3,149.42,-0.008106,-0.008151,-0.017301,-0.01733,-0.005384
47896,2022/1/28,JPM,JPMORGAN CHASE & CO,142.17,146.75999,146.61,14116969,0.008946,146.62,146.63,144.19,0.022473,0.02235,0.012924,0.01285,0.024348
47896,2022/1/31,JPM,JPMORGAN CHASE & CO,144.67,148.78999,148.60001,13985745,0.013573,148.57001,148.58,145.64,0.022431,0.022401,0.030493,0.030459,0.018886
47896,2022/2/1,JPM,JPMORGAN CHASE & CO,148.3,151.47,151.14999,14584935,0.01716,151.13,151.14,148.69,0.008548,0.008514,0.012938,0.012879,0.006863
47896,2022/2/2,JPM,JPMORGAN CHASE & CO,148.07001,150.94,149.94,12441136,-0.008005,149.91,149.92,150.5,0.004746,0.004734,-0.008769,-0.008788,0.009423
47896,2022/2/3,JPM,JPMORGAN CHASE & CO,148.285,151.64999,148.7,12474882,-0.00827,148.72,148.73,150,-0.023331,-0.023379,-0.017392,-0.017426,-0.024391
47896,2022/2/4,JPM,JPMORGAN CHASE & CO,148.7673,153.5,152.56,16654409,0.025958,152.58,152.59,149.10001,0.007243,0.007094,0.007808,0.00777,0.005157
