PERMNO,date,TICKER,COMNAM,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,OPENPRC,vwretd,vwretx,ewretd,ewretx,sprtn
21936,2022/1/3,PFE,PFIZER INC,56.34,58.55,56.65,57253148,-0.040643,56.59,56.6,58.5,0.006155,0.006132,0.0133,0.013281,0.006374
21936,2022/1/4,PFE,PFIZER INC,53.94,56.43,54.53,66993082,-0.037423,54.53,54.54,56.22,-0.002351,-0.002398,-0.003614,-0.003626,-0.00063
21936,2022/1/5,PFE,PFIZER INC,55.37,56.44,55.63,52956422,0.020172,55.62,55.63,55.84,-0.021879,-0.021933,-0.022888,-0.022899,-0.019393
21936,2022/1/6,PFE,PFIZER INC,54.49,55.63,54.84,37000392,-0.014201,54.84,54.85,55.16,0.000161,0.000103,-0.000855,-0.000868,-0.000964
21936,2022/1/7,PFE,PFIZER INC,54.63,55.77,55.72,27703374,0.016047,55.71,55.72,55.36,-0.004164,-0.004304,-0.003449,-0.003472,-0.00405
21936,2022/1/10,PFE,PFIZER INC,54.74,56.26,56.24,34044653,0.009332,56.23,56.24,55.71,-0.001893,-0.001895,-0.006038,-0.006048,-0.001441
21936,2022/1/11,PFE,PFIZER INC,55.81,57.43,56.69,33576632,0.008001,56.69,56.7,56.75,0.010905,0.010904,0.0129,0.012893,0.00916
21936,2022/1/12,PFE,PFIZER INC,55.9,57.16,56.65,27608533,-0.000706,56.63,56.64,56.34,0.001817,0.001803,-0.001804,-0.001838,0.002818
21936,2022/1/13,PFE,PFIZER INC,55.22,56.75,55.54,28117937,-0.019594,55.53,55.54,56.53,-0.014356,-0.014445,-0.011682,-0.011786,-0.014244
21936,2022/1/14,PFE,PFIZER INC,54.51,55.38,54.95,27072545,-0.010623,54.94,54.95,54.98,0.000164,0.00015,-0.000537,-0.000581,0.00082
21936,2022/1/18,PFE,PFIZER INC,53.43,54.55,54.11,35607017,-0.015287,54.1,54.11,54.5,-0.019346,-0.01936,-0.020456,-0.020479,-0.018388
21936,2022/1/19,PFE,PFIZER INC,53.45,54.49,53.54,27300373,-0.010534,53.53,53.54,53.65,-0.009368,-0.009383,-0.007658,-0.007728,-0.00969
21936,2022/1/20,PFE,PFIZER INC,53.07,54.515,54.05,35105321,0.009526,54.04,54.05,53.96,-0.010991,-0.011044,-0.010844,-0.010875,-0.011037
21936,2022/1/21,PFE,PFIZER INC,52.4637,54.865,52.79,41058973,-0.023312,52.76,52.77,54.42,-0.019931,-0.019945,-0.020748,-0.020825,-0.018915
21936,2022/1/24,PFE,PFIZER INC,49.815,52.06,51.54,59080740,-0.023679,51.55,51.56,51.75,0.004196,0.004191,0.001777,0.001754,0.002772
21936,2022/1/25,PFE,PFIZER INC,51.24,52.835,52.54,43983174,0.019402,52.52,52.53,51.36,-0.01244,-0.012469,-0.003871,-0.003881,-0.012172
21936,2022/1/26,PFE,PFIZER INC,52.455,53.62,53.01,39644846,0.008946,52.99,53.01,52.57,-0.003579,-0.003587,-0.008831,-0.008841,-0.001497
21936,2022/1/27,PFE,PFIZER INC,53,54.58,53.37,36957197,0.014337,53.38,53.39,53.02,-0.008106,-0.008151,-0.017301,-0.01733,-0.005384
21936,2022/1/28,PFE,PFIZER INC,53.1,54.67,54.33,28590397,0.017988,54.33,54.34,53.77,0.022473,0.02235,0.012924,0.01285,0.024348
21936,2022/1/31,PFE,PFIZER INC,52.385,54.14,52.69,38644575,-0.030186,52.7,52.71,54,0.022431,0.022401,0.030493,0.030459,0.018886
21936,2022/2/1,PFE,PFIZER INC,52.39,53.16,53.07,27883325,0.007212,53.05,53.07,52.74,0.008548,0.008514,0.012938,0.012879,0.006863
21936,2022/2/2,PFE,PFIZER INC,52.45,54.13,53.86,32039345,0.014886,53.87,53.88,52.84,0.004746,0.004734,-0.008769,-0.008788,0.009423
21936,2022/2/3,PFE,PFIZER INC,53.09,53.89,53.38,22635803,-0.008912,53.38,53.39,53.325,-0.023331,-0.023379,-0.017392,-0.017426,-0.024391
