PERMNO,date,TICKER,COMNAM,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,OPENPRC,vwretd,vwretx,ewretd,ewretx,sprtrn
47896,2019-01-02,JPM,JPMORGAN CHASE & CO,95.94000,99.78000,99.31000,15670850,0.017312,99.32000,99.33000,95.95000,0.001796,0.001791,0.017126,0.017105,0.001269
47896,2019-01-03,JPM,JPMORGAN CHASE & CO,96.69000,98.89000,97.11000,16286426,-0.014097,97.06000,97.08000,98.64000,-0.021043,-0.021229,-0.009454,-0.009493,-0.024757
47896,2019-01-04,JPM,JPMORGAN CHASE & CO,98.28000,100.93000,100.69000,16935205,0.036865,100.66000,100.67000,99.11000,0.033410,0.033409,0.030804,0.030780,0.034336
47896,2019-01-07,JPM,JPMORGAN CHASE & CO,99.71030,101.47000,100.76000,15430712,0.000695,100.76000,100.77000,100.43000,0.009202,0.009196,0.016144,0.016133,0.007010
47896,2019-01-08,JPM,JPMORGAN CHASE & CO,99.54500,101.82000,100.57000,13578777,-0.001886,100.57000,100.58000,101.63000,0.010269,0.010248,0.010358,0.010339,0.009695
47896,2019-01-09,JPM,JPMORGAN CHASE & CO,99.93000,101.49000,100.40000,14230331,-0.001690,100.40000,100.42000,100.81000,0.006199,0.005958,0.010306,0.010264,0.004098
47896,2019-01-10,JPM,JPMORGAN CHASE & CO,99.27000,100.73000,100.39000,14376430,-0.000100,100.37000,100.40000,100.02000,0.004474,0.004468,0.002611,0.002573,0.004518
47896,2019-01-11,JPM,JPMORGAN CHASE & CO,98.95000,100.17000,99.91000,15439850,-0.004781,99.92000,99.94000,99.89000,-0.000152,-0.000163,0.001293,0.001246,-0.000146
47896,2019-01-14,JPM,JPMORGAN CHASE & CO,98.66000,101.36000,100.94000,21258458,0.010309,100.94000,100.99000,98.87000,-0.005465,-0.005554,-0.005852,-0.005991,-0.005258
47896,2019-01-15,JPM,JPMORGAN CHASE & CO,98.60000,102.47000,101.68000,26504852,0.007331,101.68000,101.72000,98.89000,0.009839,0.009811,0.006546,0.006491,0.010722
47896,2019-01-16,JPM,JPMORGAN CHASE & CO,101.80000,103.45000,102.50000,18532952,0.008065,102.49000,102.50000,102.25000,0.003177,0.003157,0.004831,0.004808,0.002222
47896,2019-01-17,JPM,JPMORGAN CHASE & CO,101.92080,103.50000,102.92000,14247564,0.004098,102.93000,102.94000,102.11000,0.007082,0.007014,0.005101,0.005049,0.007591
47896,2019-01-18,JPM,JPMORGAN CHASE & CO,102.83000,104.90000,104.59000,16428710,0.016226,104.57000,104.58000,103.77000,0.012032,0.012011,0.008534,0.008518,0.013183
47896,2019-01-22,JPM,JPMORGAN CHASE & CO,102.13000,103.59000,102.94000,17083681,-0.015776,102.93000,102.94000,103.08000,-0.014150,-0.014182,-0.013514,-0.013570,-0.014157
47896,2019-01-23,JPM,JPMORGAN CHASE & CO,101.96500,103.70000,102.68000,12146678,-0.002526,102.68000,102.69000,103.44000,0.001313,0.001270,-0.000571,-0.000626,0.002203
47896,2019-01-24,JPM,JPMORGAN CHASE & CO,101.94000,103.09000,102.74000,11296764,0.000584,102.72000,102.74000,102.13000,0.002789,0.002762,0.005460,0.005439,0.001376
47896,2019-01-25,JPM,JPMORGAN CHASE & CO,102.74000,104.31000,103.39000,14412559,0.006327,103.39000,103.40000,103.51000,0.009553,0.009520,0.010818,0.010780,0.008489
47896,2019-01-28,JPM,JPMORGAN CHASE & CO,102.59000,104.24000,103.88000,12283089,0.004739,103.87000,103.88000,102.89000,-0.006493,-0.006493,-0.003899,-0.003906,-0.007847
47896,2019-01-29,JPM,JPMORGAN CHASE & CO,103.73010,105.11000,104.17000,9743271,0.002792,104.17000,104.19000,103.88000,-0.000918,-0.000929,0.000164,0.000143,-0.001456
47896,2019-01-30,JPM,JPMORGAN CHASE & CO,103.78000,105.24000,104.41000,12526274,0.002304,104.40000,104.41000,104.14000,0.014357,0.014215,0.009789,0.009713,0.015549
47896,2019-01-31,JPM,JPMORGAN CHASE & CO,102.73000,103.80000,103.50000,17520551,-0.008716,103.50000,103.51000,103.41000,0.008467,0.008278,0.007008,0.006938,0.008597
47896,2019-02-01,JPM,JPMORGAN CHASE & CO,103.52000,104.84550,103.88000,13000780,0.003671,103.85000,103.86000,104.00000,0.001418,0.001277,0.002960,0.002824,0.000899
47896,2019-02-04,JPM,JPMORGAN CHASE & CO,103.01000,104.25000,104.25000,9871549,0.003562,104.24000,104.25000,103.79000,0.006692,0.006647,0.007317,0.007261,0.006776
47896,2019-02-05,JPM,JPMORGAN CHASE & CO,103.29000,104.55000,103.79000,12762982,-0.004412,103.70000,103.72000,104.52000,0.004392,0.004375,0.002633,0.002602,0.004708
47896,2019-02-06,JPM,JPMORGAN CHASE & CO,103.46500,104.62000,103.74000,8744957,-0.000482,103.75000,103.76000,103.71000,-0.002529,-0.002605,-0.001374,-0.001427,-0.002224
47896,2019-02-07,JPM,JPMORGAN CHASE & CO,101.44000,103.50000,102.38000,13177489,-0.013110,102.37000,102.38000,103.25000,-0.008815,-0.008945,-0.009004,-0.009092,-0.009357
47896,2019-02-08,JPM,JPMORGAN CHASE & CO,100.06000,102.33500,101.36000,12892562,-0.009963,101.32000,101.34000,102.08000,0.000651,0.000387,-0.001107,-0.001212,0.000676
47896,2019-02-11,JPM,JPMORGAN CHASE & CO,100.77100,102.01000,100.88000,10978516,-0.004736,100.89000,100.90000,101.76000,0.001262,0.001241,0.003731,0.003704,0.000709
47896,2019-02-12,JPM,JPMORGAN CHASE & CO,101.89000,102.92000,102.60000,12852252,0.017050,102.59000,102.60000,101.95000,0.012367,0.012314,0.010086,0.010024,0.012890
47896,2019-02-13,JPM,JPMORGAN CHASE & CO,102.90000,103.85000,103.09000,10754061,0.004776,103.08000,103.09000,102.90000,0.002782,0.002721,0.003827,0.003776,0.003024
47896,2019-02-14,JPM,JPMORGAN CHASE & CO,101.35000,103.10000,102.42000,11518530,-0.006499,102.41000,102.42000,102.47000,-0.001423,-0.001761,0.000674,0.000393,-0.002652
47896,2019-02-15,JPM,JPMORGAN CHASE & CO,103.66000,105.70000,105.55000,14716861,0.030560,105.56000,105.57000,103.90000,0.010835,0.010763,0.009520,0.009451,0.010879
47896,2019-02-19,JPM,JPMORGAN CHASE & CO,103.81000,105.37000,105.18000,12764888,-0.003505,105.19000,105.21000,104.91000,0.002351,0.002292,0.005022,0.004951,0.001499
47896,2019-02-20,JPM,JPMORGAN CHASE & CO,104.87500,105.80000,105.69000,10030326,0.004849,105.72000,105.74000,105.21000,0.002105,0.001968,0.001534,0.001444,0.001777
