PERMNO,date,TICKER,COMNAM,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,OPENPRC,vwretd,vwretx,ewretd,ewretx,sprtrn
21936,2019-01-02,PFE,PFIZER INC,42.63500,43.50000,43.25000,25076212,-0.009164,43.23000,43.24000,43.12000,0.001796,0.001791,0.017126,0.017105,0.001269
21936,2019-01-03,PFE,PFIZER INC,41.95000,43.34000,42.04000,27043208,-0.027977,42.05000,42.06000,43.24000,-0.021043,-0.021229,-0.009454,-0.009493,-0.024757
21936,2019-01-04,PFE,PFIZER INC,42.25500,43.34500,43.00000,25754634,0.022835,42.99000,43.00000,42.44000,0.033410,0.033409,0.030804,0.030780,0.034336
21936,2019-01-07,PFE,PFIZER INC,42.86000,43.62000,43.23000,19919838,0.005349,43.23000,43.24000,43.07000,0.009202,0.009196,0.016144,0.016133,0.007010
21936,2019-01-08,PFE,PFIZER INC,43.15000,43.70000,43.43000,18669087,0.004626,43.44000,43.45000,43.56000,0.010269,0.010248,0.010358,0.010339,0.009695
21936,2019-01-09,PFE,PFIZER INC,43.20000,43.67000,43.34000,19077393,-0.002072,43.35000,43.36000,43.46000,0.006199,0.005958,0.010306,0.010264,0.004098
21936,2019-01-10,PFE,PFIZER INC,42.03000,43.23000,42.31000,37695611,-0.023766,42.27000,42.28000,43.22000,0.004474,0.004468,0.002611,0.002573,0.004518
21936,2019-01-11,PFE,PFIZER INC,42.15000,42.88000,42.88000,19985293,0.013472,42.84000,42.86000,42.33000,-0.000152,-0.000163,0.001293,0.001246,-0.000146
21936,2019-01-14,PFE,PFIZER INC,42.17000,42.63000,42.37000,16703162,-0.011894,42.35000,42.36000,42.55000,-0.005465,-0.005554,-0.005852,-0.005991,-0.005258
21936,2019-01-15,PFE,PFIZER INC,42.43000,43.24000,42.73000,24540172,0.008497,42.73000,42.74000,42.60000,0.009839,0.009811,0.006546,0.006491,0.010722
21936,2019-01-16,PFE,PFIZER INC,42.03000,42.79210,42.11000,28623739,-0.014510,42.08000,42.09000,42.59000,0.003177,0.003157,0.004831,0.004808,0.002222
21936,2019-01-17,PFE,PFIZER INC,41.83000,42.66000,42.47000,22938626,0.008549,42.47000,42.48000,41.95000,0.007082,0.007014,0.005101,0.005049,0.007591
21936,2019-01-18,PFE,PFIZER INC,42.26000,42.88000,42.53000,36639882,0.001413,42.52000,42.53000,42.86000,0.012032,0.012011,0.008534,0.008518,0.013183
21936,2019-01-22,PFE,PFIZER INC,41.93000,42.69000,42.27000,27935618,-0.006113,42.26000,42.27000,42.41000,-0.014150,-0.014182,-0.013514,-0.013570,-0.014157
21936,2019-01-23,PFE,PFIZER INC,41.55000,42.20000,42.16000,23209663,-0.002602,42.15000,42.16000,41.99000,0.001313,0.001270,-0.000571,-0.000626,0.002203
21936,2019-01-24,PFE,PFIZER INC,40.62000,41.79000,40.95000,32631942,-0.028700,40.94000,40.95000,41.78000,0.002789,0.002762,0.005460,0.005439,0.001376
21936,2019-01-25,PFE,PFIZER INC,40.50500,41.25000,40.64000,34029811,-0.007570,40.63000,40.64000,41.10000,0.009553,0.009520,0.010818,0.010780,0.008489
21936,2019-01-28,PFE,PFIZER INC,39.48000,40.53000,39.53000,37314660,-0.027313,39.54000,39.55000,40.50000,-0.006493,-0.006493,-0.003899,-0.003906,-0.007847
21936,2019-01-29,PFE,PFIZER INC,39.47000,40.85000,40.77000,48744552,0.031369,40.78000,40.79000,39.50000,-0.000918,-0.000929,0.000164,0.000143,-0.001456
21936,2019-01-30,PFE,PFIZER INC,40.73000,41.75000,41.58000,34220034,0.019868,41.60000,41.61000,40.77000,0.014357,0.014215,0.009789,0.009713,0.015549
21936,2019-01-31,PFE,PFIZER INC,41.35000,42.62000,42.45000,38830562,0.029582,42.46000,42.47000,41.38000,0.008467,0.008278,0.007008,0.006938,0.008597
21936,2019-02-01,PFE,PFIZER INC,42.55000,43.12000,42.88000,25844214,0.010130,42.87000,42.88000,42.87000,0.001418,0.001277,0.002960,0.002824,0.000899
21936,2019-02-04,PFE,PFIZER INC,41.96000,42.84000,42.44000,18431233,-0.010261,42.44000,42.45000,42.84000,0.006692,0.006647,0.007317,0.007261,0.006776
21936,2019-02-05,PFE,PFIZER INC,42.06000,42.73000,42.11000,20045245,-0.007776,42.10000,42.11000,42.43000,0.004392,0.004375,0.002633,0.002602,0.004708
21936,2019-02-06,PFE,PFIZER INC,41.79000,42.37000,42.33000,15607570,0.005224,42.33000,42.34000,41.92000,-0.002529,-0.002605,-0.001374,-0.001427,-0.002224
21936,2019-02-07,PFE,PFIZER INC,41.20750,42.15000,41.70000,23005696,-0.014883,41.69000,41.70000,42.11000,-0.008815,-0.008945,-0.009004,-0.009092,-0.009357
21936,2019-02-08,PFE,PFIZER INC,41.49000,42.24000,42.23000,26091645,0.012710,42.23000,42.24000,41.53000,0.000651,0.000387,-0.001107,-0.001212,0.000676
21936,2019-02-11,PFE,PFIZER INC,41.51000,42.31000,41.68000,25713635,-0.013024,41.67000,41.68000,42.28000,0.001262,0.001241,0.003731,0.003704,0.000709
21936,2019-02-12,PFE,PFIZER INC,41.39000,42.01000,41.87000,28975461,0.004559,41.86000,41.87000,41.71000,0.012367,0.012314,0.010086,0.010024,0.012890
21936,2019-02-13,PFE,PFIZER INC,41.39000,42.06000,41.70000,23488812,-0.004060,41.68000,41.69000,41.92000,0.002782,0.002721,0.003827,0.003776,0.003024
21936,2019-02-14,PFE,PFIZER INC,41.62000,42.12000,41.97000,18847247,0.006475,41.96000,41.97000,41.70000,-0.001423,-0.001761,0.000674,0.000393,-0.002652
21936,2019-02-15,PFE,PFIZER INC,42.08000,42.51000,42.40000,18186859,0.010245,42.40000,42.41000,42.38000,0.010835,0.010763,0.009520,0.009451,0.010879
21936,2019-02-19,PFE,PFIZER INC,42.18500,42.86000,42.60000,23181303,0.004717,42.59000,42.60000,42.24000,0.002351,0.002292,0.005022,0.004951,0.001499
21936,2019-02-20,PFE,PFIZER INC,41.93000,42.56000,42.20000,25953408,-0.009390,42.21000,42.22000,42.53000,0.002105,0.001968,0.001534,0.001444,0.001777
21936,2019-02-21,PFE,PFIZER INC,41.86000,42.32000,42.14000,18607063,-0.001422,42.14000,42.15000,42.02000,-0.003534,-0.003604,-0.001722,-0.001781,-0.003526
21936,2019-02-22,PFE,PFIZER INC,42.22000,43.12500,42.96000,23510009,0.019459,42.96000,42.97000,42.30000,0.006367,0.006318,0.007815,0.007776,0.006411
