PERMNO,date,TICKER,COMNAM,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,OPENPRC,vwretd,vwretx,ewretd,ewretx,sprtrn
18163,2019-01-02,PG,PROCTER & GAMBLE CO,89.93000,91.39000,91.28000,9843939,-0.006963,91.23000,91.24000,91.03000,0.001796,0.001791,0.017126,0.017105,0.001269
18163,2019-01-03,PG,PROCTER & GAMBLE CO,90.38000,92.50000,90.64000,9820374,-0.007011,90.62000,90.63000,90.94000,-0.021043,-0.021229,-0.009454,-0.009493,-0.024757
18163,2019-01-04,PG,PROCTER & GAMBLE CO,90.37000,92.49000,92.49000,10565749,0.020410,92.45000,92.47000,90.84000,0.033410,0.033409,0.030804,0.030780,0.034336
18163,2019-01-07,PG,PROCTER & GAMBLE CO,91.40000,92.50000,92.12000,9012540,-0.004000,92.13000,92.14000,91.91000,0.009202,0.009196,0.016144,0.016133,0.007010
18163,2019-01-08,PG,PROCTER & GAMBLE CO,91.82000,93.09000,92.46000,9551291,0.003691,92.46000,92.47000,92.70000,0.010269,0.010248,0.010358,0.010339,0.009695
18163,2019-01-09,PG,PROCTER & GAMBLE CO,90.81000,92.96000,90.95000,15015597,-0.016331,90.95000,90.96000,92.69000,0.006199,0.005958,0.010306,0.010264,0.004098
18163,2019-01-10,PG,PROCTER & GAMBLE CO,90.60500,91.53500,91.17000,11102312,0.002419,91.17000,91.19000,90.89000,0.004474,0.004468,0.002611,0.002573,0.004518
18163,2019-01-11,PG,PROCTER & GAMBLE CO,91.11000,91.98000,91.77000,7166579,0.006581,91.73000,91.75000,91.67000,-0.000152,-0.000163,0.001293,0.001246,-0.000146
18163,2019-01-14,PG,PROCTER & GAMBLE CO,90.85000,91.91000,91.15000,7952044,-0.006756,91.14000,91.15000,91.50000,-0.005465,-0.005554,-0.005852,-0.005991,-0.005258
18163,2019-01-15,PG,PROCTER & GAMBLE CO,91.14000,92.61000,92.01000,7834918,0.009435,92.01000,92.02000,91.15000,0.009839,0.009811,0.006546,0.006491,0.010722
18163,2019-01-16,PG,PROCTER & GAMBLE CO,90.99000,92.15000,91.37000,7964516,-0.006956,91.33000,91.34000,91.74000,0.003177,0.003157,0.004831,0.004808,0.002222
18163,2019-01-17,PG,PROCTER & GAMBLE CO,90.34500,91.56000,90.64000,8044793,-0.000140,90.61000,90.63000,90.71000,0.007082,0.007014,0.005101,0.005049,0.007591
18163,2019-01-18,PG,PROCTER & GAMBLE CO,91.04000,91.84000,91.42000,9100592,0.008605,91.37000,91.39000,91.37000,0.012032,0.012011,0.008534,0.008518,0.013183
18163,2019-01-22,PG,PROCTER & GAMBLE CO,89.08000,91.75000,90.44000,13518523,-0.010720,90.40000,90.44000,91.39000,-0.014150,-0.014182,-0.013514,-0.013570,-0.014157
18163,2019-01-23,PG,PROCTER & GAMBLE CO,93.63000,96.41000,94.84000,22868970,0.048651,94.83000,94.84000,94.18000,0.001313,0.001270,-0.000571,-0.000626,0.002203
18163,2019-01-24,PG,PROCTER & GAMBLE CO,93.19000,94.56000,94.30000,12146363,-0.005694,94.30000,94.31000,94.29000,0.002789,0.002762,0.005460,0.005439,0.001376
18163,2019-01-25,PG,PROCTER & GAMBLE CO,93.06000,94.89000,93.60000,10618588,-0.007423,93.58000,93.60000,94.41500,0.009553,0.009520,0.010818,0.010780,0.008489
18163,2019-01-28,PG,PROCTER & GAMBLE CO,92.97000,93.97000,93.52000,9765584,-0.000855,93.51000,93.52000,93.32000,-0.006493,-0.006493,-0.003899,-0.003906,-0.007847
18163,2019-01-29,PG,PROCTER & GAMBLE CO,93.10000,94.12000,93.54000,9769782,0.000214,93.53000,93.54000,93.79000,-0.000918,-0.000929,0.000164,0.000143,-0.001456
