PERMNO,date,TICKER,COMNAM,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,OPENPRC,vwretd,vwretx,ewretd,ewretx,sprtrn
14593,2021-09-30,AAPL,APPLE INC,141.28000,144.37801,141.50000,88991097,-0.009312,141.32001,141.35001,143.66000,-0.009500,-0.009556,-0.002315,-0.002355,-0.011910
14593,2021-10-01,AAPL,APPLE INC,139.11011,142.92000,142.64999,94632013,0.008127,142.48000,142.64999,141.89999,0.010643,0.010596,0.007536,0.007421,0.011491
14593,2021-10-04,AAPL,APPLE INC,138.27000,142.21001,139.14000,98233554,-0.024606,139.17000,139.20000,141.75999,-0.012878,-0.012934,-0.011107,-0.011130,-0.012986
14593,2021-10-05,AAPL,APPLE INC,139.36000,142.24001,141.11000,80765889,0.014158,141.10001,141.11000,139.49001,0.009502,0.009423,0.003845,0.003828,0.010524
14593,2021-10-06,AAPL,APPLE INC,138.37000,142.14999,142.00000,83182053,0.006307,141.97000,141.98000,139.47000,0.002818,0.002813,-0.004543,-0.004552,0.004103
14593,2021-10-07,AAPL,APPLE INC,142.72000,144.21500,143.28999,61683766,0.009084,143.28000,143.28999,143.06000,0.009925,0.009754,0.010992,0.010964,0.008298
14593,2021-10-08,AAPL,APPLE INC,142.56000,144.17810,142.89999,58732359,-0.002722,142.99001,143.02000,144.03000,-0.002520,-0.002600,-0.002715,-0.002927,-0.001914
14593,2021-10-11,AAPL,APPLE INC,141.81000,144.81000,142.81000,64409225,-0.000630,142.80000,142.81000,142.27000,-0.006344,-0.006344,-0.002642,-0.002642,-0.006866
14593,2021-10-12,AAPL,APPLE INC,141.04010,143.25000,141.50999,72992091,-0.009103,141.44000,141.46001,143.23000,0.000236,0.000233,0.004511,0.004490,-0.002417
14593,2021-10-13,AAPL,APPLE INC,139.20000,141.39999,140.91000,78699269,-0.004240,140.95000,140.97000,141.23500,0.004802,0.004785,0.005999,0.005981,0.003023
14593,2021-10-14,AAPL,APPLE INC,141.50999,143.88000,143.75999,69868960,0.020226,143.75000,143.75999,142.11000,0.015965,0.015877,0.008072,0.007941,0.017063
14593,2021-10-15,AAPL,APPLE INC,143.50999,144.89500,144.84000,67882736,0.007513,144.82001,144.84000,143.77000,0.005721,0.005717,-0.000452,-0.000460,0.007460
14593,2021-10-18,AAPL,APPLE INC,143.16000,146.84000,146.55000,85520711,0.011806,146.53999,146.55000,143.44501,0.003275,0.003271,-0.001035,-0.001115,0.003375
14593,2021-10-19,AAPL,APPLE INC,146.55000,149.17000,148.75999,76319203,0.015080,148.78000,148.78999,147.00999,0.006813,0.006803,0.005574,0.005562,0.007393
